"type","age","N"
"962","URINARY",100,64
"963","URINARY",18,48
"964","URINARY",15,30
"965","URINARY",101,40
"966","URINARY",10,32
"967","URINARY",103,6
"968","URINARY",104,7
"969","URINARY",105,4
"970","URINARY",108,1
"971","URINARY",12,19
"972","URINARY",9,36
"973","URINARY",19,62
"974","URINARY",999,13
"975","URINARY",115,1
"976","URINARY",107,1
"977","URINARY",106,3
